Semana,Ciudad,Marca,Store ID,Store Name,Cocina,Avg RTWT (limpio),Current Size (m),Final Size (m)
4/5/2026,Bogotá,Brunch & Munch - Turbo,CO900488275,Brunch & Munch Arrecife - Turbo,Arrecife,0.17,3000.0,3000.0
4/5/2026,Bogotá,Brunch & Munch - Turbo,CO900420519,Brunch And Munch - Kennedy - Turbo,Kennedy,9.15,2400.0,2400.0
4/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900465166,Desayuno Mi Tierrita - Colina - Turbo,Colina,9.14,2400.0,2400.0
4/5/2026,Bogotá,Foodology Court - Turbo,CO900465151,Foodology Usaquen - Turbo Cl. 120a #3,Usaquén,8.93,1200.0,1500.0
4/5/2026,Bogotá,Desayunos de la Abuela - Turbo,CO900446320,Desayunos de la Abuela Chico - Turbo,Chicó,8.91,1200.0,1500.0
4/5/2026,Bogotá,The Breakfast Club - Turbo,CO900475286,The Breakfast Club Calle 93 - Turbo,Parque 93 / Castellana,8.73,2400.0,2400.0
4/5/2026,Cali,Desayuno Mi Tierrita - Turbo,CO900465164,Desayuno Mi Tierrita San Fernando Cali - Turbo,San Fernando,8.39,1200.0,1500.0
4/5/2026,Bogotá,Cali Vea - Turbo,CO900415611,Cali Vea Kennedy - Turbo,Kennedy,8.34,1200.0,1500.0
4/5/2026,Bogotá,The Breakfast Club - Turbo,CO900475281,The Breakfast Club Colina - Turbo,Colina,7.56,1200.0,1500.0
4/5/2026,Bogotá,Mr Beast Burger - Turbo,CO900477182,Mr Beast Chico - Turbo,Chicó,7.24,2400.0,2400.0
4/5/2026,Bucaramanga,Dembow - Turbo,CO900473642,Dembow - Cabecera - Turbo,Cabecera (Bga),7.22,2400.0,2400.0
4/5/2026,Bogotá,Selvatiko. - Turbo,CO900475116,Selvatiko. Chapinero - Turbo,Chapinero,7.19,2400.0,2400.0
4/5/2026,Bogotá,Ñamgucheria Sandwiches - Turbo,CO900440314,Ñamgucheria Chicó - Turbo,Chicó,7.18,1200.0,1500.0
4/5/2026,Bogotá,Dembow - Turbo,CO900476018,Dembow Chico - Turbo,Chicó,7.15,2400.0,2400.0
4/5/2026,Bogotá,Dembow - Turbo,CO900475131,Dembow Cl 109 - Turbo,Calle 109,6.96,2400.0,2400.0
4/5/2026,Cali,Cacerola - Turbo,CO900416209,Cacerola Cali - San Fernando - Turbo,San Fernando,6.84,2400.0,2400.0
4/5/2026,Bogotá,Desayunos de la Abuela - Turbo,CO900446310,Desayunos de la Abuela Colina - Turbo,Colina,6.81,1200.0,1500.0
4/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900476019,Desayuno Mi Tierrita Chico - Turbo,Chicó,6.78,1200.0,1500.0
4/5/2026,Bogotá,Mr Beast Burger - Turbo,CO900475371,Mr Beast Cl 109 - Turbo,Calle 109,6.69,1200.0,1500.0
4/5/2026,Cali,Selvatiko. - Turbo,CO900475114,Selvatiko. Santa Monica - Turbo,Santa Mónica,6.58,1200.0,1500.0
4/5/2026,Bogotá,Almuerzos D´la Casa - Turbo,CO900471212,Almuerzos D´la Casa - Colina - Turbo,Colina,6.47,2400.0,2400.0
4/5/2026,Bogotá,Honest Food Fdl - Turbo,CO900463745,Honest Food Cl 109 - Turbo,Calle 109,6.43,1200.0,1500.0
4/5/2026,Cali,Desayunos de la Abuela - Turbo,CO900446306,Desayunos de la Abuela San Fernando - Turbo,San Fernando,6.39,2400.0,2400.0
4/5/2026,Bogotá,Dembow - Turbo,CO900473654,Dembow - Colina - Turbo,Colina,6.36,2400.0,2400.0
4/5/2026,Bogotá,Burritos & Co - Turbo,CO900476014,Burritos & Co Chico - Turbo,Chicó,6.21,1200.0,1500.0
4/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900464390,Desayuno Mi Tierrita Cl 109 - Turbo,Calle 109,5.84,2400.0,2400.0
4/5/2026,Valledupar,Helados Popsy - Turbo,CO900484508,POPSY VALLEDUPAR 2 (CC ORBE PLAZA) - Turbo,Otra,5.84,2400.0,2400.0
4/5/2026,Bogotá,la Cuadra Desayunos Caseros - Turbo,CO900464914,la Cuadra - Cl 109 - Turbo,Calle 109,5.81,1200.0,1500.0
4/5/2026,Bogotá,Brunch & Munch - Turbo,CO900410119,Brunch & Munch Villa del Prado  - Turbo,Villa del Prado,5.73,2400.0,2400.0
4/5/2026,Bogotá,Desayunos de la Abuela - Turbo,CO900463744,Desayunos de la Abuela Cl 109 - Turbo,Calle 109,5.72,1200.0,1500.0
4/5/2026,Bogotá,Mañanero Diario - Turbo,CO900476020,Mañanero Diario Chico - Turbo,Chicó,5.69,2400.0,2400.0
4/5/2026,Bogotá,Helados Popsy - Turbo,CO900403153,Popsy Calle 116 - Turbo,Otra,5.67,2400.0,2400.0
4/5/2026,Bogotá,Helados Popsy - Turbo,CO900403155,Popsy Bogotá 82 Cc Calle 82 Andino - Turbo,Otra,5.63,2400.0,2400.0
4/5/2026,Bogotá,Cacerola - Turbo,CO900473676,Cacerola Chico - Turbo,Chicó,5.63,2400.0,2400.0
4/5/2026,Cali,la Cuadra Desayunos Caseros - Turbo,CO900467501,La Cuadra Desayunos Santa Mónica - Turbo,Santa Mónica,5.59,2400.0,2400.0
4/5/2026,Bogotá,Dembow - Turbo,CO900473649,Dembow - Calle 93 - Turbo,Parque 93 / Castellana,5.41,2400.0,2400.0
4/5/2026,Bogotá,Honest Food Fdl - Turbo,CO900472137,Honest Food Chapinero - Turbo,Chapinero,5.41,2400.0,2400.0
4/5/2026,Bogotá,Cinnabon - Turbo,CO900476080,Cinnabon Colina - Turbo,Colina,5.38,2400.0,2400.0
4/5/2026,Bucaramanga,Burrito Cantina - Turbo,CO900467384,Burrito Cantina Bucaramanga - Turbo,Cabecera (Bga),5.36,2400.0,2400.0
4/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900465162,Desayunos Mi Tierrita - Villa del prado - Turbo,Villa del Prado,5.23,2400.0,2400.0
4/5/2026,Bogotá,Acpm Corrientazo - Turbo,CO900464913,Acpm Corrientazo Cl 109 - Turbo,Calle 109,5.19,1200.0,1500.0
4/5/2026,Bucaramanga,The Breakfast Club - Turbo,CO900475208,The Breakfast Club Cabecera - Turbo,Cabecera (Bga),5.14,2400.0,2400.0
4/5/2026,Bogotá,Helados Popsy - Turbo,CO900403154,Popsy Calle 109 - Turbo,Calle 109,4.98,2400.0,2400.0
4/5/2026,Cali,House Of Salads - Turbo,CO900445681,House Of Salad Santa Monica - Turbo,Santa Mónica,4.93,2400.0,2400.0
4/5/2026,Bucaramanga,Brunch & Munch - Turbo,CO900426741,Brunch & Munch Bucaramanga - Turbo,Cabecera (Bga),4.92,2400.0,2400.0
4/5/2026,Bogotá,Brunch & Munch - Turbo,CO900420483,Brunch & Munch - Chicó - Turbo,Chicó,4.91,1200.0,1800.0
4/5/2026,Bogotá,House Of Salads - Turbo,CO900445682,House Of Salad Chico - Turbo,Chicó,4.88,1200.0,1500.0
4/5/2026,Bogotá,Bottaniko - Turbo,CO900464153,Bottaniko Cl 109 - Turbo,Calle 109,4.87,2400.0,2400.0
4/5/2026,Bogotá,The Cookie Jaar - Turbo,CO900429948,Cookie Jaar - Popsy Cc Calle 82 Andino - Turbo,Otra,4.87,2400.0,2400.0
4/5/2026,Bogotá,The Breakfast Club - Turbo,CO900475213,The Breakfast Club Chico - Turbo,Chicó,4.85,1200.0,1800.0
4/5/2026,Cali,Burrito Cantina - Turbo,CO900467382,Burrito Cantina Santa Mónica (Cali Norte) - Turbo,Santa Mónica,4.83,2400.0,2400.0
