week,kitchen,gmv
2026-07-06,01 DOCTORES,33686
2026-07-06,02 SAN ANGEL,25251
2026-07-06,03 POLANCO,82523
2026-07-06,05 COAPA,22622
2026-07-06,09 CHURUBUSCO,17047
2026-07-06,10 SAN JERONIMO,20131
2026-07-06,12 DEL VALLE,18829
2026-07-06,13 TEC,12959
2026-07-06,14 JARDINES,16900
2026-07-06,15 LINDAVISTA,4706
2026-07-06,19 LA CALMA,18331
2026-07-06,21 SANTA TERESITA,14651
2026-07-06,23 SANTA CATARINA,2022
2026-07-06,25 TABACHINES,5108
2026-07-06,26 CIUDAD JUDICIAL,3768
2026-07-06,30 LINCOLN,7213
2026-07-06,31 MONTEJO,11287
2026-07-06,34 TLAQUEPAQUE,1029
2026-07-06,37 CANEK,10195
2026-07-06,38 SALTILLO CENTRO,6268
2026-07-06,39 MONTERREY CENTRO,493
2026-07-13,01 DOCTORES,26896
2026-07-13,02 SAN ANGEL,22639
2026-07-13,03 POLANCO,69983
2026-07-13,05 COAPA,30097
2026-07-13,09 CHURUBUSCO,15095
2026-07-13,10 SAN JERONIMO,17969
2026-07-13,12 DEL VALLE,16027
2026-07-13,13 TEC,17920
2026-07-13,14 JARDINES,16045
2026-07-13,15 LINDAVISTA,3156
2026-07-13,19 LA CALMA,18381
2026-07-13,21 SANTA TERESITA,20199
2026-07-13,23 SANTA CATARINA,2617
2026-07-13,25 TABACHINES,13312
2026-07-13,26 CIUDAD JUDICIAL,3250
2026-07-13,30 LINCOLN,13638
2026-07-13,31 MONTEJO,11807
2026-07-13,34 TLAQUEPAQUE,3022
2026-07-13,37 CANEK,15783
2026-07-13,38 SALTILLO CENTRO,8776
2026-07-13,39 MONTERREY CENTRO,1219
2026-07-20,01 DOCTORES,26193
2026-07-20,02 SAN ANGEL,21522
2026-07-20,03 POLANCO,51776
2026-07-20,05 COAPA,17034
2026-07-20,09 CHURUBUSCO,8529
2026-07-20,10 SAN JERONIMO,16900
2026-07-20,12 DEL VALLE,11583
2026-07-20,13 TEC,14074
2026-07-20,14 JARDINES,15609
2026-07-20,15 LINDAVISTA,3392
2026-07-20,19 LA CALMA,14813
2026-07-20,21 SANTA TERESITA,15357
2026-07-20,23 SANTA CATARINA,2466
2026-07-20,25 TABACHINES,9841
2026-07-20,26 CIUDAD JUDICIAL,1701
2026-07-20,30 LINCOLN,9409
2026-07-20,31 MONTEJO,7954
2026-07-20,34 TLAQUEPAQUE,4023
2026-07-20,37 CANEK,11454
2026-07-20,38 SALTILLO CENTRO,5305
2026-07-20,39 MONTERREY CENTRO,2044
2026-07-27,01 DOCTORES,21991
2026-07-27,02 SAN ANGEL,17443
2026-07-27,03 POLANCO,53453
2026-07-27,05 COAPA,20722
2026-07-27,09 CHURUBUSCO,9761
2026-07-27,10 SAN JERONIMO,25616
2026-07-27,12 DEL VALLE,13780
2026-07-27,13 TEC,14580
2026-07-27,14 JARDINES,21355
2026-07-27,15 LINDAVISTA,4046
2026-07-27,19 LA CALMA,17272
2026-07-27,21 SANTA TERESITA,17254
2026-07-27,23 SANTA CATARINA,2922
2026-07-27,25 TABACHINES,5009
2026-07-27,26 CIUDAD JUDICIAL,930
2026-07-27,30 LINCOLN,11451
2026-07-27,31 MONTEJO,12403
2026-07-27,34 TLAQUEPAQUE,2706
2026-07-27,37 CANEK,18027
2026-07-27,38 SALTILLO CENTRO,5185
2026-07-27,39 MONTERREY CENTRO,3022
2026-08-03,01 DOCTORES,23885
2026-08-03,02 SAN ANGEL,22139
2026-08-03,03 POLANCO,57244
2026-08-03,05 COAPA,16211
2026-08-03,09 CHURUBUSCO,11625
2026-08-03,10 SAN JERONIMO,23332
2026-08-03,12 DEL VALLE,14311
2026-08-03,13 TEC,20251
2026-08-03,14 JARDINES,20591
2026-08-03,15 LINDAVISTA,3373
2026-08-03,19 LA CALMA,21361
2026-08-03,21 SANTA TERESITA,15466
2026-08-03,23 SANTA CATARINA,3328
