kitchen,brand,gmv
01 DOCTORES,Mr Beast Burger Turbo,4199
01 DOCTORES,Honest Food Turbo,2717
01 DOCTORES,AVOCALIA TURBO,2462
01 DOCTORES,Green House Turbo,1849
01 DOCTORES,Fonda Local turbo,1469
01 DOCTORES,La Panquequería Turbo,1376
01 DOCTORES,The Egg Spot Turbo,1359
01 DOCTORES,Chemaquiles Turbo,1297
01 DOCTORES,Órale Desayunos Turbo,963
01 DOCTORES,House of Salads Turbo,961
01 DOCTORES,Orale Chilaquiles Turbo,904
01 DOCTORES,The Wrap Company Turbo,868
01 DOCTORES,Tastyfoods turbo,792
01 DOCTORES,BRUNCH & MUNCH TURBO,577
01 DOCTORES,Desayunos de la Abuela Turbo,459
01 DOCTORES,Freshlab Turbo,353
01 DOCTORES,The Breakfast Club Turbo,307
02 SAN ANGEL,BRUNCH & MUNCH TURBO,7839
02 SAN ANGEL,AVOCALIA TURBO,7804
02 SAN ANGEL,La Panquequería Turbo,5207
02 SAN ANGEL,Honest Food Turbo,4503
02 SAN ANGEL,Mr Beast Burger Turbo,4095
02 SAN ANGEL,House of Salads Turbo,3148
02 SAN ANGEL,Órale Desayunos Turbo,3063
02 SAN ANGEL,Green House Turbo,2134
02 SAN ANGEL,Orale Chilaquiles Turbo,2049
02 SAN ANGEL,Cocina Corrida turbo,1956
02 SAN ANGEL,Foodhub Turbo,1405
02 SAN ANGEL,Avocalia Desayunos Turbo,1093
02 SAN ANGEL,The Egg Spot Turbo,1079
02 SAN ANGEL,Fonda Local turbo,638
02 SAN ANGEL,The Breakfast Club Turbo,478
02 SAN ANGEL,Desayunos de la Abuela Turbo,377
02 SAN ANGEL,Tastyfoods turbo,319
02 SAN ANGEL,Mega Greens Turbo (Super Ensaladas Turbo),169
02 SAN ANGEL,Freshlab Turbo,165
02 SAN ANGEL,The Wrap Company Turbo,164
03 POLANCO,BRUNCH & MUNCH TURBO,11902
03 POLANCO,Mr Beast Burger Turbo,9111
03 POLANCO,Honest Food Turbo,8851
03 POLANCO,Órale Desayunos Turbo,8150
03 POLANCO,AVOCALIA TURBO,7722
03 POLANCO,The Egg Spot Turbo,5495
03 POLANCO,Desayunos de la Abuela Turbo,5416
03 POLANCO,La Panquequería Turbo,4529
03 POLANCO,Avocalia Desayunos Turbo,3381
03 POLANCO,Orale Chilaquiles Turbo,3038
03 POLANCO,The Breakfast Club Turbo,2891
03 POLANCO,Fonda Local turbo,2866
03 POLANCO,Green House Turbo,2289
03 POLANCO,Tastyfoods turbo,1850
03 POLANCO,Cocina Corrida turbo,1411
03 POLANCO,Foodhub Turbo,1253
03 POLANCO,Mega Greens Turbo (Super Ensaladas Turbo),1030
03 POLANCO,The Wrap Company Turbo,687
03 POLANCO,House of Salads Turbo,553
03 POLANCO,Eggy By Chef Quintanilla Turbo,215
03 POLANCO,Freshlab Turbo,159
05 COAPA,Mr Beast Burger Turbo,6359
05 COAPA,Honest Food Turbo,3830
05 COAPA,Órale Desayunos Turbo,3371
05 COAPA,Orale Chilaquiles Turbo,2993
05 COAPA,BRUNCH & MUNCH TURBO,2016
05 COAPA,Cocina Corrida turbo,1852
05 COAPA,Green House Turbo,1731
05 COAPA,Foodhub Turbo,1295
05 COAPA,Avocalia Desayunos Turbo,629
05 COAPA,House of Salads Turbo,575
05 COAPA,The Breakfast Club Turbo,333
05 COAPA,La Neta Burger Turbo,244
05 COAPA,La Panquequería Turbo,170
05 COAPA,Tastyfoods turbo,165
05 COAPA,Chemaquiles Turbo,129
09 CHURUBUSCO,Mr Beast Burger Turbo,4348
09 CHURUBUSCO,Órale Desayunos Turbo,2627
09 CHURUBUSCO,Honest Food Turbo,2535
09 CHURUBUSCO,House of Salads Turbo,2238
09 CHURUBUSCO,AVOCALIA TURBO,1807
09 CHURUBUSCO,Tastyfoods turbo,1686
09 CHURUBUSCO,BRUNCH & MUNCH TURBO,1367
09 CHURUBUSCO,Green House Turbo,956
09 CHURUBUSCO,The Breakfast Club Turbo,740
09 CHURUBUSCO,Fonda Local turbo,563
09 CHURUBUSCO,Chemaquiles Turbo,490
09 CHURUBUSCO,The Egg Spot Turbo,414
09 CHURUBUSCO,Foodhub Turbo,179
09 CHURUBUSCO,Mega Greens Turbo (Super Ensaladas Turbo),175
09 CHURUBUSCO,La Neta Burger Turbo,158
10 SAN JERONIMO,Mr Beast Burger Turbo,6432
10 SAN JERONIMO,Órale Desayunos Turbo,5663
10 SAN JERONIMO,Desayunos de la Abuela Turbo,3378
10 SAN JERONIMO,Honest Food Turbo,3188
10 SAN JERONIMO,BRUNCH & MUNCH TURBO,2628
10 SAN JERONIMO,AVOCALIA TURBO,2327
10 SAN JERONIMO,Cocina Corrida turbo,1966
10 SAN JERONIMO,La Panquequería Turbo,1213
10 SAN JERONIMO,The Breakfast Club Turbo,1181
10 SAN JERONIMO,Foodhub Turbo,1170
10 SAN JERONIMO,Chemaquiles Turbo,1100
10 SAN JERONIMO,Tastyfoods turbo,968
10 SAN JERONIMO,Avocalia Desayunos Turbo,852
10 SAN JERONIMO,The Egg Spot Turbo,497
10 SAN JERONIMO,Pozorale Turbo,384
10 SAN JERONIMO,Mega Greens Turbo (Super Ensaladas Turbo),344
10 SAN JERONIMO,Fonda Local turbo,225
10 SAN JERONIMO,House of Salads Turbo,169
12 DEL VALLE,Honest Food Turbo,3136
12 DEL VALLE,Mr Beast Burger Turbo,3069
12 DEL VALLE,Desayunos de la Abuela Turbo,2561
12 DEL VALLE,Fonda Local turbo,1806
12 DEL VALLE,Orale Chilaquiles Turbo,1801
12 DEL VALLE,AVOCALIA TURBO,1483
12 DEL VALLE,The Breakfast Club Turbo,1088
12 DEL VALLE,House of Salads Turbo,923
12 DEL VALLE,Green House Turbo,921
12 DEL VALLE,BRUNCH & MUNCH TURBO,851
12 DEL VALLE,The Egg Spot Turbo,817
