typ,week,name,city,orders
COC,2026-08-17,03 POLANCO,Ciudad de México,248
COC,2026-08-17,14 JARDINES,Guadalajara,109
COC,2026-08-17,19 LA CALMA,Guadalajara,108
COC,2026-08-17,02 SAN ANGEL,Ciudad de México,104
COC,2026-08-17,10 SAN JERONIMO,Monterrey,100
COC,2026-08-17,21 SANTA TERESITA,Guadalajara,98
COC,2026-08-17,01 DOCTORES,Ciudad de México,86
COC,2026-08-17,05 COAPA,Ciudad de México,80
COC,2026-08-17,37 CANEK,Merida,68
COC,2026-08-17,13 TEC,Monterrey,64
COC,2026-08-17,09 CHURUBUSCO,Ciudad de México,63
COC,2026-08-17,38 SALTILLO CENTRO,Monterrey,58
COC,2026-08-17,30 LINCOLN,Monterrey,55
COC,2026-08-17,12 DEL VALLE,Ciudad de México,55
COC,2026-08-17,25 TABACHINES,Guadalajara,44
COC,2026-08-17,31 MONTEJO,Merida,33
COC,2026-08-17,34 TLAQUEPAQUE,Guadalajara,29
COC,2026-08-17,23 SANTA CATARINA,Monterrey,17
COC,2026-08-17,15 LINDAVISTA,Ciudad de México,16
COC,2026-08-17,26 CIUDAD JUDICIAL,Puebla,6
COC,2026-08-17,39 MONTERREY CENTRO,Monterrey,2
COC,2026-08-24,03 POLANCO,Ciudad de México,280
COC,2026-08-24,02 SAN ANGEL,Ciudad de México,157
COC,2026-08-24,21 SANTA TERESITA,Guadalajara,139
COC,2026-08-24,10 SAN JERONIMO,Monterrey,136
COC,2026-08-24,14 JARDINES,Guadalajara,104
COC,2026-08-24,19 LA CALMA,Guadalajara,104
COC,2026-08-24,01 DOCTORES,Ciudad de México,81
COC,2026-08-24,37 CANEK,Merida,80
COC,2026-08-24,05 COAPA,Ciudad de México,80
COC,2026-08-24,30 LINCOLN,Monterrey,79
COC,2026-08-24,25 TABACHINES,Guadalajara,76
COC,2026-08-24,09 CHURUBUSCO,Ciudad de México,74
COC,2026-08-24,13 TEC,Monterrey,71
COC,2026-08-24,12 DEL VALLE,Ciudad de México,65
COC,2026-08-24,38 SALTILLO CENTRO,Monterrey,61
COC,2026-08-24,31 MONTEJO,Merida,44
COC,2026-08-24,34 TLAQUEPAQUE,Guadalajara,36
COC,2026-08-24,15 LINDAVISTA,Ciudad de México,29
COC,2026-08-24,23 SANTA CATARINA,Monterrey,19
COC,2026-08-24,26 CIUDAD JUDICIAL,Puebla,12
COC,2026-08-24,39 MONTERREY CENTRO,Monterrey,8
BRA,2026-08-17,Honest Food Turbo,,213
BRA,2026-08-17,Mr Beast Burger Turbo,,190
BRA,2026-08-17,AVOCALIA TURBO,,132
BRA,2026-08-17,BRUNCH & MUNCH TURBO,,113
BRA,2026-08-17,Órale Desayunos Turbo,,101
BRA,2026-08-17,Fonda Local turbo,,89
BRA,2026-08-17,Green House Turbo,,78
BRA,2026-08-17,Cocina Corrida turbo,,72
BRA,2026-08-17,La Panquequería Turbo,,71
BRA,2026-08-17,Desayunos de la Abuela Turbo,,61
BRA,2026-08-24,Mr Beast Burger Turbo,,277
BRA,2026-08-24,Honest Food Turbo,,249
BRA,2026-08-24,AVOCALIA TURBO,,153
BRA,2026-08-24,BRUNCH & MUNCH TURBO,,145
BRA,2026-08-24,Órale Desayunos Turbo,,144
BRA,2026-08-24,La Panquequería Turbo,,85
BRA,2026-08-24,Green House Turbo,,82
BRA,2026-08-24,Orale Chilaquiles Turbo,,78
BRA,2026-08-24,Fonda Local turbo,,73
BRA,2026-08-24,Cocina Corrida turbo,,68
