brand,storeId,storeName,avg4w,weeksData,coverageCurrent,coverageResult,diffGoal,devPct,status,losesCoverage,trend,w1,w2,w3,w4
Mañanero Diario - Turbo,900443500,Mañanero diario Chapinero - Turbo,30.791667,2,2100,0,28.791667,14.3958335,🔴 Crítico,Sí,Sin datos suficientes,51.816667,9.766667,,
Desayuno Mi Tierrita - Turbo,900464390,Desayuno Mi Tierrita Cl 109 - Turbo,13.8,1,2100,0,11.8,5.9,🔴 Crítico,Sí,Sin datos suficientes,,13.8,,
Mr Beast Burger - Turbo,900477182,Mr Beast Chico - Turbo,10.61661388,3,2100,0,8.616613876,4.308306938,🔴 Crítico,Sí,Empeorando,5.3800002,11.83095243,14.638889,
la Cuadra Desayunos Caseros - Turbo,900467501,La Cuadra Desayunos Santa Mónica - Turbo,10.583333,1,2100,0,8.583333,4.2916665,🔴 Crítico,Sí,Sin datos suficientes,,,10.583333,
Dembow - Turbo,900473646,Dembow - Santa Mónica - Turbo,9.7833335,2,2700,0,7.7833335,3.89166675,🔴 Crítico,Sí,Empeorando,0.9,,18.666667,
la Cuadra Desayunos Caseros - Turbo,900467493,La Cuadra Desayunos Caseros Usaquen - Turbo,8.1,1,3000,0,6.1,3.05,🔴 Crítico,Sí,Sin datos suficientes,,8.1,,
Dembow - Turbo,900475131,Dembow Cl 109 - Turbo,8.041667,2,2100,0,6.041667,3.0208335,🔴 Crítico,Sí,Sin datos suficientes,3.816667,12.266667,,
la Cuadra Desayunos Caseros - Turbo,900467499,La Cuadra Desayunos Caceros - Villa del Prado - Turbo,7.966667,1,2400,2400,5.966667,2.9833335,🟠 Riesgo,No,Sin datos suficientes,,,,7.966667
House Of Salads - Turbo,900445681,House Of Salad Santa Monica - Turbo,7.056250063,4,2100,2100,5.056250063,2.528125031,🟠 Riesgo,No,Empeorando,2.625,7.8875,7.12083325,10.591667
Mr Beast Burger - Turbo,900407413,Mr Beast Santa Mónica (Cali Norte) - Turbo,6.87708325,4,2100,2100,4.87708325,2.438541625,🟠 Riesgo,No,Mejorando,7.825,8.858333333,6.808333,4.016666667
Ñamgucheria Sandwiches - Turbo,900439224,Ñamguchería Santa Monica - Turbo,6.828261761,4,2100,2100,4.828261761,2.41413088,🟠 Riesgo,No,Empeorando,4.362121182,7.514814778,11.12222217,4.313888917
Honest Food Fdl - Turbo,900472144,Honest Food Santa Monica - Turbo,6.827284859,4,2100,2100,4.827284859,2.41364243,🟠 Riesgo,No,Empeorando,3.2316667,9.284615308,4.478571571,10.31428586
Pret Sandwich Bistro - Turbo,900416178,Pret Sándwich Bistro Santa Monica - Turbo,6.7916665,1,2400,2400,4.7916665,2.39583325,🟠 Riesgo,No,Sin datos suficientes,,6.7916665,,
Acpm Corrientazo - Turbo,900464911,Acpm Corrientazo Chapinero - Turbo,6.5,1,2400,2400,4.5,2.25,🟠 Riesgo,No,Sin datos suficientes,,6.5,,
Desayunos de la Abuela - Turbo,900446316,Desayunos de la Abuela Santa Monica - Turbo,6.154340281,4,2100,2100,4.154340281,2.077170141,🟠 Riesgo,No,Empeorando,4.025,4.893749875,5.17777775,10.5208335
Casa Arabe - Turbo,900477839,Casa Árabe Kennedy - Turbo,6.003703778,3,2400,2400,4.003703778,2.001851889,🟠 Riesgo,No,Mejorando,5.116667,11.25,1.644444333,
Bottaniko - Turbo,900443516,Bottaniko - Colina - Turbo,5.9875,4,2400,2400,3.9875,1.99375,🟠 Riesgo,No,Empeorando,0.316667,6.5,12.55,4.583333
