week_year,city,kitchen,brand_name,orders,gmv_nac
2026-08-24,Medellín,Manila,AVOCALIA TURBO,331,15635100
2026-08-24,Medellín,Manila,BRUNCH & MUNCH TURBO,219,12815700
2026-08-24,Bogotá,Chico,AVOCALIA TURBO,205,8928900
2026-08-24,Medellín,Laureles,AVOCALIA TURBO,197,8905500
2026-08-24,Bogotá,Calle 109,BRUNCH & MUNCH TURBO,153,8935500
2026-08-24,Barranquilla,Barranquilla,Green House Turbo,145,4850600
2026-08-24,Barranquilla,Barranquilla,AVOCALIA TURBO,145,5948400
2026-08-24,Bogotá,Calle 109,AVOCALIA TURBO,126,5780800
2026-08-24,Bogotá,Chico,BRUNCH & MUNCH TURBO,116,6473700
2026-08-24,Medellín,Manila,Burritos & Co Turbo,114,4642900
2026-08-24,Bucaramanga,Bucaramanga,AVOCALIA TURBO,113,4691700
2026-08-24,Medellín,Laureles,Burritos & Co Turbo,106,4881500
2026-08-24,Bucaramanga,Bucaramanga,Burritos & Co Turbo,103,4342200
2026-08-24,Bogotá,Parque 93,AVOCALIA TURBO,103,4619700
2026-08-24,Bogotá,Chapinero,Green House Turbo,96,3911900
2026-08-24,Bogotá,Calle 109,Burritos & Co Turbo,85,4075600
2026-08-24,Bogotá,Chapinero,AVOCALIA TURBO,83,3494300
2026-08-24,Bogotá,Usaquén,AVOCALIA TURBO,83,4207000
2026-08-24,Bucaramanga,Bucaramanga,La Cuadra Turbo,76,4171000
2026-08-24,Bogotá,Andes,AVOCALIA TURBO,74,3187700
2026-08-24,Medellín,Manila,Cinnabon Turbo,73,2748200
2026-08-24,Bogotá,Calle 109,Desayunos de la Abuela Turbo,73,4136400
2026-08-24,Bogotá,Arrecife,AVOCALIA TURBO,72,3129000
2026-08-24,Medellín,Laureles,BRUNCH & MUNCH TURBO,72,4216700
2026-08-24,Bogotá,Villa del Prado,AVOCALIA TURBO,70,3231900
2026-08-24,Barranquilla,Barranquilla,La Cuadra Turbo,68,3558500
2026-08-24,Bogotá,Andes,BRUNCH & MUNCH TURBO,68,3667900
2026-08-24,Bogotá,Calle 109,Green House Turbo,68,2650400
2026-08-24,Bucaramanga,Bucaramanga,Green House Turbo,67,2422100
2026-08-24,Medellín,Manila,Desayunos de la Abuela Turbo,66,3410900
2026-08-24,Medellín,Laureles,Cinnabon Turbo,64,2078500
2026-08-24,Barranquilla,Barranquilla,Burritos & Co Turbo,63,2579400
2026-08-24,Bogotá,Colina,Burritos & Co Turbo,63,3357400
2026-08-24,Medellín,Manila,La Cuadra Turbo,61,3399300
2026-08-24,Bogotá,Villa del Prado,Burritos & Co Turbo,60,3082700
2026-08-24,Bogotá,Parque 93,Green House Turbo,60,2276300
2026-08-24,Bogotá,Andes,Burritos & Co Turbo,60,2973800
2026-08-24,Bogotá,Chapinero,Desayunos de la Abuela Turbo,60,3284800
2026-08-24,Bogotá,Colina,AVOCALIA TURBO,59,2763100
2026-08-24,Medellín,Laureles,La Cuadra Turbo,58,3818600
2026-08-24,Bogotá,Chapinero,BRUNCH & MUNCH TURBO,58,3521400
2026-08-24,Bogotá,Calle 109,La Cuadra Turbo,58,3110600
2026-08-24,Bogotá,Chapinero,Burritos & Co Turbo,57,2722800
2026-08-24,Bogotá,Chicó Cinnabon,cinnabon pase turbo,56,1875800
2026-08-24,Bogotá,Kennedy,Mr Beast Burger Turbo,54,3002100
2026-08-24,Cartagena,Cartagena,AVOCALIA TURBO,53,2436000
2026-08-24,Bogotá,Calle 109,Ñamgucheria Turbo,52,2629000
2026-08-24,Bogotá,Usaquén,Cinnabon Turbo,52,1750900
2026-08-24,Medellín,Laureles,Desayunos de la Abuela Turbo,51,2965100
2026-08-24,Bogotá,Chapinero,The Breakfast Club Turbo,49,2610900
2026-08-24,Bogotá,Parque 93,Burritos & Co Turbo,49,2979300
2026-08-24,Bogotá,Usaquén,Ñamgucheria Turbo,48,2353200
2026-08-24,Bogotá,Arrecife,La Cuadra Turbo,48,2857900
2026-08-24,Medellín,Manila,Honest Food Turbo,47,2286000
2026-08-24,Bogotá,Usaquén,BRUNCH & MUNCH TURBO,46,2407600
2026-08-24,Cali,San Fernando,Green House Turbo,45,1760400
