week_year,city,kitchen,brand_name,orders,gmv_nac
2026-08-10,Medellín,11 MANILA,AVOCALIA TURBO,251,11510000
2026-08-10,Bogotá,50 CHICO,AVOCALIA TURBO,227,10418400
2026-08-10,Medellín,12 LAURELES,AVOCALIA TURBO,171,8922000
2026-08-10,Bogotá,65 CALLE 109,AVOCALIA TURBO,144,5976000
2026-08-10,Medellín,11 MANILA,Burritos & Co Turbo,141,6552100
2026-08-10,Barranquilla,32 BARRANQUILLA,Green House Turbo,139,5127100
2026-08-10,Medellín,11 MANILA,BRUNCH & MUNCH TURBO,127,7813900
2026-08-10,Bogotá,65 CALLE 109,BRUNCH & MUNCH TURBO,116,6813100
2026-08-10,Barranquilla,32 BARRANQUILLA,AVOCALIA TURBO,110,4225900
2026-08-10,Medellín,12 LAURELES,Burritos & Co Turbo,107,4928100
2026-08-10,Bucaramanga,42 CABECERA,Burritos & Co Turbo,107,4478100
2026-08-10,Bucaramanga,42 CABECERA,AVOCALIA TURBO,96,3678300
2026-08-10,Bogotá,03 CHAPINERO,AVOCALIA TURBO,93,4242800
2026-08-10,Bucaramanga,42 CABECERA,La Cuadra Turbo,87,4663200
2026-08-10,Bogotá,08 ANDES,AVOCALIA TURBO,85,3213900
2026-08-10,Bogotá,36 VILLA DEL PRADO,AVOCALIA TURBO,82,3879700
2026-08-10,Bogotá,03 CHAPINERO,Green House Turbo,79,3273800
2026-08-10,Bogotá,02 PARQUE 93,AVOCALIA TURBO,79,3942500
2026-08-10,Bogotá,50 CHICO,BRUNCH & MUNCH TURBO,78,4297800
2026-08-10,Medellín,11 MANILA,Desayunos de la Abuela Turbo,74,4099600
2026-08-10,Bogotá,01 USAQUEN,AVOCALIA TURBO,73,3585300
2026-08-10,Bogotá,69 ARRECIFE,AVOCALIA TURBO,73,3087100
2026-08-10,Medellín,12 LAURELES,Green House Turbo,71,2840200
2026-08-10,Bogotá,06 COLINA,Burritos & Co Turbo,70,3905800
2026-08-10,Bogotá,65 CALLE 109,Green House Turbo,69,2684700
2026-08-10,Bogotá,03 CHAPINERO,BRUNCH & MUNCH TURBO,67,3384400
2026-08-10,Medellín,11 MANILA,Cinnabon Turbo,66,2230400
2026-08-10,Bogotá,65 CALLE 109,Ñamgucheria Turbo,66,3201900
2026-08-10,Medellín,11 MANILA,La Cuadra Turbo,62,3828800
2026-08-10,Bogotá,36 VILLA DEL PRADO,Burritos & Co Turbo,61,3598500
2026-08-10,Bogotá,03 CHAPINERO,Burritos & Co Turbo,61,3154200
2026-08-10,Bogotá,08 ANDES,Burritos & Co Turbo,59,2598200
2026-08-10,Bogotá,02 PARQUE 93,Burritos & Co Turbo,58,2898300
2026-08-10,Bogotá,65 CALLE 109,Burritos & Co Turbo,57,3126200
2026-08-10,Bogotá,69 ARRECIFE,Mr Beast Burger Turbo,54,2694300
2026-08-10,Bogotá,71 CEDRITOS,Green House Turbo,54,2132600
2026-08-10,Medellín,12 LAURELES,BRUNCH & MUNCH TURBO,52,2803200
2026-08-10,Bogotá,71 CEDRITOS,Ñamgucheria Turbo,52,2626600
2026-08-10,Bogotá,65 CALLE 109,La Cuadra Turbo,52,2961900
2026-08-10,Medellín,11 MANILA,The Breakfast Club Turbo,52,3153600
2026-08-10,Bogotá,06 COLINA,AVOCALIA TURBO,50,2062800
2026-08-10,Bogotá,08 ANDES,La Cuadra Turbo,50,2955300
2026-08-10,Bogotá,71 CEDRITOS,AVOCALIA TURBO,50,2439500
2026-08-10,Barranquilla,32 BARRANQUILLA,Burritos & Co Turbo,50,2227700
2026-08-10,Medellín,12 LAURELES,The Breakfast Club Turbo,49,2702100
2026-08-10,Bogotá,08 ANDES,BRUNCH & MUNCH TURBO,48,2379500
2026-08-10,Bogotá,36 VILLA DEL PRADO,Mr Beast Burger Turbo,47,2562700
